,Type Flag,,,,,,
TWh ,-1,2010,2015,2020,2025,2030,2035
Coal,1,1847,1581,1656,1680,1766,1807
Natural Gas,1,970,1132,1184,996,1379,1519
Oil,1,37,20,17,18,18,18
Nuclear,1,807,820,885,912,908,875
Hydro,1,257.08,297.18,302.28,306.75,309.15,311.83
Biomass,1,37.61,54.58,91.13,116.24,133.11,145.45
Wind,1,94.95,153.85,154.4,164.84,173.83,194.23
Solar,1,4.48,20.35,23.87,25.44,28.42,43.96
Geothermal,1,15.67,18.68,24.41,31.53,39.89,46.54
Total electrical Demand (TWh),2,3955.00,3942.00,4084.00,4265.0,4426.0,4572.00
Vehicle Electrical Demand,2,5.56,8.33,8.33,11.11,16.67,19.44
Petroleum,3,24343.0000,24020.00,24054.000,24080.00,24205.0000,24453.0000
Ethanol,3,2536.0000,2428.00,2407.000,2478.00,2815.0000,3216.0000
Biodiesel,3,41,130,129,133,151,172
CNG,3,40.00,60.0,90.0,110.0,140.0,160.00
Hydrogen,3,0,0,0,0,0,0
Electric,3,20,30,30,40,60,70
Total Transport Demand (TJ),4,28463478.0,28134740.0,28178918.8,28316914.3,28876110.4,29615106.6
Coal,5,1719.65,1751.3,1930.65,2078.35,2162.75,2247.15
Natural Gas,5,17386.4,17935,18209.3,18251.5,18188.2,18209.3
Oil,5,10539.45,10117.45,10149.1,10233.5,10191.3,10233.5
Biomass,5,1477.00,1382.00,1466.0,1466.0,1456.0,1614.0
Total Heat Demand (TJ),6,32834237.5,32900966.3,33501577.8,33790964.3,33758153.8,34080667.3
Water-Surface,7,0.7,0.7,0.7,0.7,0.7,0.7
Water-Ground,7,0.3,0.3,0.3,0.3,0.3,0.3
Water-Import,7,0,0,0,0,0,0
Water-Desal,7,0,0,0,0,0,0
Total Water Demand (m^3*1e6),8,568670,596199.948512679,625062.652516434,655322.632190016,687047.531205938,720308.267942292
WW-Trickling,9,0.0167,0.012,0.01,0.005,0.001,0
WW-Aerated,9,0.412,0.4,0.38,0.36,0.35,0.35
WW-Adv-NoDeN,9,0.1632,0.1732,0.19,0.2,0.2,0.2
WW-Adv-DeN,9,0.4083,0.42,0.42,0.43,0.44,0.44
Wastewater Demand (m^3*1e6),10,44691,46854.5411204743,49122.8216779714,51500.912225375,53994.1287866857,56608.0447405507