,Source Flag,% Fuel sourced from region,Current Regional Percentage of Class from Source,"Current Regional Capacity (MW, MJ/hr, m^3/hr)",Fleet Capacity Factor,Regional fleet efficiency,Policy Regional Preference,Natural Regional Preference,Ops Mode 1 Prob,Ops Mode 2 Prob,Ops Mode 3 Prob,Mode 4 Prob,Mode 5 Prob,Plant Mode 1 Prob,Plant Mode 2 Prob,Plant Mode 3 Prob,Mode 4 Prob,Mode 5 Prob,Fuel Mode 1 Prob,Fuel Mode 2 Prob,Fuel Mode 3 Prob,Mode 4 Prob,Mode 5 Prob
Coal,0,0.8,0.44,21636,0.5589,0.3472,1,1,0.6,0.4,0,0,0,1,0,0,0,0,0.7,0.3,0,0,0
Natural Gas,1,0.5,0.15,10875,0.3025,0.4077,1,1,0.6,0.4,0,0,0,1,0,0,0,0,0.8,0.2,0,0,0
Oil,2,0.01,0.004622,3679,0.0155,0.2672,1,1,0.6,0.4,0,0,0,1,0,0,0,0,1,0,0,0,0
Nuclear,3,0,0.33,10015,0.8828,0.3,1,1,0.22,0.78,0,0,0,1,0,0,0,0,1,0,0,0,0
Hydro,4,1,0.025,3240,0.10912,0.97,1,1.7760276,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Biomass,5,0.95,0.033,717.4,0.5572,0.277,1,1.5872738,0.6,0.4,0,0,0,1,0,0,0,0,1,0,0,0,0
Wind,6,1,0.02492,748,0.164,0.97,1,0.979676,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Solar,7,1,0.00008143,73,0.1355,0.97,1,0.5623929,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Geothermal,8,1,0,0.00001,0.30,0.97,1,0.9084462,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Petroleum,9,0.01,0.949,2554000000,1,0.99,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Ethanol,10,0.2,0.0393,305480000,1,0.99,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Biodiesel,11,0.9,0.0121,25570000,1,0.99,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CNG,12,0.5,0.000000341,83000000,1,0.92,1,1,1,0,0,0,0,1,0,0,0,0,0.8,0.2,0,0,0
Hydrogen,13,0.5,0.0000000001,282,1,0.97,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Electric,14,1,0.000000003,8460,0.2,0.99,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Coal,15,0.8,0.189,27563760,1,0.99,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Natural Gas,16,0.5,0.581,84733040,1,0.92,1,1,1,0,0,0,0,1,0,0,0,0,0.8,0.2,0,0,0
Oil,17,0.01,0.17,24792800,1,0.99,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Biomass,18,1,0.057,8312880,1,0.97,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Water-Surface,19,1,0.937,1616000,0.87,0.97,1,1,0.2,0.18,0.62,0,0,0.38,0.62,0,0,0,0.5,0.4,0.1,0,0
Water-Ground,20,1,0.163,98500,0.95,0.97,1,1,0.4,0.2,0.4,0,0,0.6,0.4,0,0,0,1,0,0,0,0
Water-Import,21,1,0,0.0000001,0.9,0.97,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Water-Desal,22,1,0,0.0000001,0.9,0.97,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
WW-Trickling,23,1,0.01,20.501,1.08,0.97,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
WW-Aerated,24,1,0.5713,175520.10,0.76,0.97,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
WW-Adv-NoDeN,25,1,0.064,21131.80,0.71,0.97,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
WW-Adv-DeN,26,1,0.3846,119063.50,0.71,0.97,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0